code;libelle;code_fnere
5141;COMMERCE DE GROS DE COMBUSTIBLES SOLIDES, LIQUIDES ET GAZEUX ET DE PRODUITS DÉRIVÉS;4641
5142;COMMERCE DE GROS DE BOIS;4642
5143;COMMERCE DE GROS D'AUTRES MATÉRIAUX DE CONSTRUCTION, QUINCAILLERIE ET FOURNITURES POUR PLOMBERIE;4643
5144;COMMERCE DE GROS DE PRODUITS INTERMÉDIAIRES NON AGRICOLES DIVERS;4644
514421;COMMERCE DE GROS DE DIAMANTS BRUTES ET DE DIAMANTS FAÇONNÉS;4644
514422;COMMERCE DE GROS D'AUTRES PIERES PRÉCIEUSES ET SEMI-PRÉCIEUSES;0824
514423;COMMERCE DE GROS DE MINERAIS MÉTALIQUE FERREUX ET NON FERREUX;0824
514424;COMMERCE DE GROS DE METAUX FERREUX ET NON FERREUX SOUS FORMES PRIMAIRES;0824
514425;COMMERCE DE GROS DE DEMI PRODUIT EN MÉTAUX FERREUX ET NON FERREUX N.C.A;0824
514426;COMMERCE DE GROS D'OR ET D'AUTRES EN MÉTAUX PRÉCIEUX;0824
5151;COMMERCE DE GROS DE MACHINES, D'ÉQUIPEMENTS ET FOURNITURES ÉLECTRIQUES;4651
5152;COMMERCE DE GROS DE MACHINES, D'ÉQUIPEMENTS ET FOURNITURES MÉCANIQUES;4652
5160;AUTRES COMMERCES DE GROS;4660
5210;COMMERCE DE DÉTAIL EN MAGASIN NON SPÉCIALISÉ;4710
5221;COMMERCE DE DÉTAIL EN MAGASIN SPÉCIALISÉ DE PRODUITS ALIMENTAIRES, BOISSONS ET TABACS MANUFACTURÉS;4721
5222;COMMERCE DE DÉTAIL EN MAGASIN SPÉCIALISÉ DE PRODUITS PHARMACEUTIQUES ET MÉDICAUX, DE PARFUMERIE ET DE PRODUITS DE BEAUTE;4722
5223;COMMERCE DE DÉTAIL EN MAGASIN SPÉCIALISÉ DE TEXTILES, HABILLEMENT, CHAUSSURES ET ARTICLES EN CUIR;4723
5224;COMMERCE DE DÉTAIL EN MAGASIN SPÉCIALISÉ D'ARTICLES ET D'APPAREILS D'ÉQUIPEMENT DOMESTIQUE;4724
5225;COMMERCE DE DÉTAIL EN MAGASIN SPÉCIALISÉ DE QUINCAILLERIE, PEINTURES, VERRE ET ARTICLES TECHNIQUES EN VERRE;4725
5226;COMMERCE DE DÉTAIL EN MAGASIN SPÉCIALISÉ DE LIVRES, JOURNAUX ET ARTICLES DE PAPETERIE;4726
5227;COMMERCE DE DÉTAIL EN MAGASIN SPÉCIALISÉ DE MATÉRIELS DE BUREAU, D'ORDINATEURS, D'ARTICLES OPTIQUES ET PHOTOGRAPHIQUES;4727
5228;COMMERCE DE DÉTAIL EN MAGASIN SPÉCIALISÉ DE CYCLES ET AUTRES PRODUITS N.C.A;4729
5230;COMMERCE DE DÉTAIL DE BIENS D'OCCASION;4729
5241;COMMERCE DE DÉTAIL SUR ÉVENTAIRES ET MARCHÉS DE VIANDES ET POISSONS;4731
5242;COMMERCE DE DÉTAIL SUR ÉVENTAIRES ET MARCHÉS DE FRUITS ET LÉGUMES FRAIS;4732
5243;COMMERCE DE DÉTAIL SUR ÉVENTAIRES ET MARCHÉS DE CÉRÉALES, TUBERCULES ET AUTRES PRODUITS ALIMENTAIRES, BOISSONS ET TABACS MANU;4733
5244;COMMERCE DE DÉTAIL SUR ÉVENTAIRES ET MARCHÉS DE TEXTILES, HABILLEMENT, CHAUSSURES ET ARTICLES EN CUIR;4734
5245;COMMERCE DE DÉTAIL SUR ÉVENTAIRES ET MARCHÉS D'ARTICLES NON ALIMENTAIRES DIVERS;4735
5246;AUTRES COMMERCES DE DÉTAIL HORS MAGASIN;4736
5250;RÉPARATION D'ARTICLES PERSONNELES ET DOMESTIQUES;9520
5510;HÔTELS ET AUTRES MOYENS D'HÉBERGEMENT DE COURTE DURÉE;5500
5521;RESTAURANTS;5610
5522;BARS, CAFÉS ET AUTRES DÉBITS DE BOISSON;5620
6010;TRANSPORTS FERROVIAIRES;4910
6021;TRANSPORTS URBAINS DE PASSAGERS;4921
6022;TRANSPORTS INTERURBAINS DE PASSAGERS;4921
6030;TRANSPORTS ROUTIERS DE MARCHANDISES;4922
6040;TRANSPORTS PAR CONDUITES;4930
6110;TRANSPORTS MARITIMES ET CÔTIERS;5010
6120;TRANSPORTS PAR VOIES NAVIGABLES;5020
6200;TRANSPORTS AÉRIENS;5101
6311;MANUTENTION;5221
6312;ENTREPOSAGE;5210
6321;EXPLOITATION D'INFRASTRUCTURES DE TRANSPORT TERRESTRE;5222
6322;ACTIVITÉS PORTUAIRES;5222
6323;ACTIVITÉS AÉROPORTUAIRES;5102
6331;ACTIVITÉS DES AGENCES DE VOYAGES;7900
6332;ORGANISATION DU TRANSPORT DU FRET;5223
6410;ACTIVITÉS DE POSTE ET DE COURRIER;5301
6421;EXPLOITATION DE RÉSEAUX DE TÉLÉCOMMUNICATION;6100
6511;ACTIVITÉS DE BANQUE CENTRALE;6411
6512;AUTRES ACTIVITÉS MONÉTAIRES;6412
6521;CRÉDIT-BAIL ET AUTRES ACTIVITÉS DE CRÉDIT;6420
6522;AUTRES INTERMÉDIATIONS FINANCIÈRES;6432
6601;ASSURANCE-VIE, CAPITALISATION ET CAISSES DE RETRAITE;6501
6602;ASSURANCE-DOMMAGES;6502
6710;ACTIVITÉS D'AUXILIAIRES FINANCIERS;6602
6720;ACTIVITÉS D'AUXILIAIRES D'ASSURANCES;6603
7011;PROMOTION IMMOBILIÈRE;4111
7012;LOCATION IMMOBILIÈRE;6810
7020;ACTIVITÉS DES AGENCES IMMOBILIÈRES;6820
7111;LOCATION DE VOITURES;7701
7112;LOCATION D'AUTRES MATÉRIELS DE TRANSPORT;5210
7120;LOCATION DE MACHINES ET D'ÉQUIPEMENTS N.C.A;7702
7130;LOCATION D'ARTICLES PERSONNELS ET DOMESTIQUES N.C.A;7703
7210;CONSEIL INFORMATIQUE ET DÉVELOPPEMENTS LOGICIELS;6201
7220;MAINTENANCE DE MATÉRIELS INFORMATIQUES ET D'ÉQUIPEMENTS DE BUREAU;6301
7230;AUTRES ACTIVITÉS INFORMATIQUES;6202
7310;RECHERCHE ET DÉVELOPPEMENT EXPÉRIMENTAL EN SCIENCES PHYSIQUES ET NATURELLES ET EN INGÉNIERIE;7210
7320;RECHERCHE ET DÉVELOPPEMENT EXPÉRIMENTAL EN SCIENCES SOCIALES ET HUMAINES;7220
7411;ACTIVITÉS JURIDIQUES;6901
7412;"ACTIVITÉS COMPTABLES ET D'AUDIT ; CONSEIL FISCAL";6902
7413;"ACTIVITÉS D'ÉTUDES DE MARCHÉ ET DE SONDAGE ; CONSEIL POUR LES AFFAIRES ET LE MANAGEMENT";7302
7421;ACTIVITÉS D'ARCHITECTURE, D'INGÉNIERIE ET AUTRES ACTIVITÉS TECHNIQUES;7101
7422;ACTIVITÉS D'ESSAIS ET D'ANALYSES TECHNIQUES;7102
7431;PUBLICITÉ;7301
7432;ACTIVITÉS D'ENQUÊTE ET DE SÉCURITÉ;8000
7433;ACTIVITÉS DE NETTOYAGE;8102
7434;ACTIVITÉS PHOTOGRAPHIQUES;7402
7435;AUTRES ACTIVITÉS DE SERVICES FOURNIS PRINCIPALEMENT AUX ENTREPRISES N.C.A;8203
7510;ACTIVITÉS D'ADMINISTRATION GÉNÉRALE, ÉCONOMIQUE ET SOCIALE;8410
7520;ACTIVITÉS DE PRÉROGATIVE PUBLIQUE;8420
7530;SÉCURITÉ SOCIALE OBLIGATOIRE;8430
8010;ENSEIGNEMENT PRÉSCOLAIRE ET PRIMAIRE;8510
8021;ENSEIGNEMENT SECONDAIRE GÉNÉRAL;8521
8022;ENSEIGNEMENT SECONDAIRE TECHNIQUE ET/OU PROFESSIONNEL;8522
8030;ENSEIGNEMENT SUPÉRIEUR;8530
